"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"1","K1",34294.9333333333,6,1769.7,6.03333333333333,24,6890.56666666667,21.3,45.3333333333333,14557.4333333333,38.2666666666667,77.3333333333333,23647.4,66,2298.6,178.033333333333,3355.2,15.3333333333333,13.3333333333333,10.3333333333333,6.33333333333333,9,14,21.3333333333333,9.66666666666667,10.3333333333333,10.3333333333333,11.3333333333333,21.3333333333333,5.33333333333333,142.666666666667,6
"2","K10",28052.2333333333,8.33333333333333,1784.9,6.23333333333333,20.3333333333333,3683.16666666667,12.0333333333333,9.33333333333333,2256.26666666667,8.06666666666667,44.3333333333333,9015.23333333333,37.3333333333333,3364.96666666667,562.333333333333,4189.43333333333,17.3333333333333,8,4,10,4,7,6,4.66666666666667,5,10,11.6666666666667,4.66666666666667,9.66666666666667,84.6666666666667,6
"3","K12",30805.0333333333,20,3650.1,9.4,47,9087.2,32.1,32,6351,18.2,100.333333333333,19394.2666666667,96.3333333333333,5409.7,452.333333333333,5957.9,11,13.3333333333333,18.6666666666667,3.66666666666667,10,13.3333333333333,2.33333333333333,9.33333333333333,18.6666666666667,9.66666666666667,9,3,3.66666666666667,114.666666666667,6
"4","K13",40977.7333333333,1.33333333333333,205.866666666667,0.433333333333333,16.3333333333333,4083.66666666667,9.83333333333333,53,28557.2333333333,68.5,75,36157.5333333333,69.3333333333333,1992.23333333333,120.466666666667,3569.83333333333,9,14.3333333333333,5,0.666666666666667,10,13,14.6666666666667,8.66666666666667,6,1.66666666666667,1.33333333333333,14.6666666666667,1,91,6
"5","K15",23642.1333333333,13,2866.9,13.7333333333333,30.3333333333333,6512.93333333333,26.9333333333333,30,7372,30.6333333333333,79,18067.9,77.3333333333333,4140.26666666667,256.433333333333,3671.1,2.33333333333333,8.33333333333333,10.3333333333333,5.66666666666667,10,9.66666666666667,1.33333333333333,11,9,4,4.66666666666667,1.33333333333333,5,80.3333333333333,6
"6","K15a",61266.2,3.66666666666667,1718.7,3.76666666666667,26.6666666666667,11835.7666666667,16.4666666666667,36.6666666666667,23395.1333333333,48.4666666666667,71.3333333333333,39302.5333333333,68.3333333333333,1809.73333333333,170.633333333333,3604.66666666667,6,10.3333333333333,9.66666666666667,0,8.33333333333333,10.3333333333333,4,8.66666666666667,9.66666666666667,6.66666666666667,6.66666666666667,4,0,78.3333333333333,6
"7","K22",45531.7333333333,4.66666666666667,1130.43333333333,3.3,18.6666666666667,5198.93333333333,11.6333333333333,40.3333333333333,19379.6,48.9,75.3333333333333,32730.2,65.6666666666667,1789.33333333333,127.9,3620.1,13.3333333333333,9.33333333333333,6.33333333333333,2.33333333333333,8.33333333333333,10.3333333333333,11.3333333333333,9.66666666666667,5.66666666666667,4,4.66666666666667,11.3333333333333,1.66666666666667,85,6
"8","K32",40382.8666666667,6.66666666666667,1336.3,2.7,38.3333333333333,9274.1,24.5333333333333,44,14937.2666666667,37.1666666666667,91,26076.3333333333,85.6666666666667,4253.66666666667,404.4,4900,15,11.6666666666667,5.33333333333333,2.66666666666667,12,11,4.66666666666667,12,7,2.33333333333333,3.33333333333333,4.33333333333333,2,78.3333333333333,6
"9","K35",34780.2333333333,7.66666666666667,1615.56666666667,4.36666666666667,34.3333333333333,8477.16666666667,25.7333333333333,37.6666666666667,15013.8333333333,40.8333333333333,84.3333333333333,27315.5666666667,82,2750.4,223.766666666667,4394.96666666667,8,11.6666666666667,6.66666666666667,1.33333333333333,8.66666666666667,10.3333333333333,2.66666666666667,7,7.66666666666667,7.33333333333333,6.66666666666667,3,1.66666666666667,74.6666666666667,6
"10","K36",42708.4,6.33333333333333,5113.56666666667,13.4,13.6666666666667,9300.63333333333,20,16.3333333333333,15473.9,36.7,44,36007.0333333333,38.6666666666667,864.3,66.6666666666667,2193.93333333333,6.66666666666667,24.6666666666667,17,6.33333333333333,17.6666666666667,24,9.66666666666667,17.3333333333333,17.3333333333333,4.66666666666667,5,9.66666666666667,6.66666666666667,160,6
"11","K37",47584.1333333333,2,895.8,1.73333333333333,15.6666666666667,4614.86666666667,9.83333333333333,36,23583.8666666667,57.1666666666667,66,38365.5,62.3333333333333,1611.5,84.9,2435,6.33333333333333,10,4,0.666666666666667,6.33333333333333,9.66666666666667,10.3333333333333,6.33333333333333,4,4.66666666666667,4.33333333333333,10.3333333333333,1,71.6666666666667,6
"12","K5",86741.6333333333,0.666666666666667,127.966666666667,0.2,10.6666666666667,1839.8,2.63333333333333,0.333333333333333,178.8,0.2,12,2179.93333333333,12.6666666666667,1091.13333333333,255.933333333333,2040.36666666667,28,0.333333333333333,0.333333333333333,0,2.66666666666667,0.333333333333333,0.333333333333333,2.33333333333333,0.333333333333333,5.66666666666667,5.33333333333333,0.666666666666667,0,18.3333333333333,6
"13","K77",78098.9,0.333333333333333,38.9666666666667,0.0333333333333333,5.66666666666667,1552.6,1.86666666666667,45.3333333333333,64953.4666666667,82.6,57.6666666666667,75136.7333333333,53.3333333333333,1046.2,38.1,1547.93333333333,5.66666666666667,6.66666666666667,3.66666666666667,0,2,6.33333333333333,9.33333333333333,2,4,1.66666666666667,1.66666666666667,9.33333333333333,0,46.6666666666667,6
"14","K78",148026.933333333,10.3333333333333,12620.4,7.73333333333333,28.3333333333333,7898.1,5.43333333333333,93.3333333333333,102956.9,68.7666666666667,144,137742.966666667,138,3296.46666666667,202.233333333333,6094.8,12.3333333333333,60,21,6.33333333333333,19,55.6666666666667,47.6666666666667,16.3333333333333,24.3333333333333,6.66666666666667,6.66666666666667,46.3333333333333,7.66666666666667,317.666666666667,6
"15","S138",32953.7666666667,4.33333333333333,1809,6.36666666666667,20.3333333333333,6350.6,17.6333333333333,39.6666666666667,18898.9333333333,57.6666666666667,69.6666666666667,30063.4333333333,68.6666666666667,1671.03333333333,79.3,2468.26666666667,2.33333333333333,12,5.66666666666667,2.33333333333333,5.33333333333333,12,4.33333333333333,4.66666666666667,5.66666666666667,2.33333333333333,2.33333333333333,4.66666666666667,2,63.3333333333333,6
